,title,href,susbtitle,num_of_hearts
10,#分享歌曲 &有人能推薦好聽的台語/客語歌曲嗎😀,https://www.dcard.tw/f/music/p/236519151,想找像無眠、魚仔、你啊你啊，這樣的有閩南語的流行歌！！，或是流行的客家歌也可以，之前在電台聽過很好聽的忘記叫什麼了...，這是很喜歡的廣仲的明仔載：或是像這幾首的，黃鳳儀 — 我的美麗，吳申梅 — 手,3
11,歷史的傷痕，只有加害者真誠的道歉才能撫平。,https://www.dcard.tw/f/talk/p/236268314,祈求世上所有的不公義能獲得平反。聆聽朱宥勳解釋珂拉淇的歌詞後，有不同的感觸。更加愛上他的歌曲了。,5
12,用100首打破「台語歌」的刻板印象,https://www.dcard.tw/f/talk/p/236214548,說到「台語歌」，你會想到什麼歌呢？也許，許多人聽到「台語歌」這個詞彙，可能會有一些既定印象或框架，可能覺得它就是老派唱腔、老人唱的、悲情、俗氣、落伍等標籤，但是，過去很多的經典台語歌，其實蘊含許多的故,6
13,詹雅雯確診帕金森氏症　「左腦中度萎縮」2個月暴瘦8公斤,https://www.dcard.tw/f/trending/p/235573538,金曲歌后詹雅雯才剛推出新專輯《幸福過敏》，沒想到最近兩個月以來身體不適，食慾很差體重掉了8公斤，僅剩42公斤，在醫院做了一連串的檢查後，醫生竟告知詹雅雯罹患帕金森氏症，左腦已中度萎縮。這對詹雅雯來說無,5
14,翻唱COVER 魏秀文-遊覽車（天之驕女片尾曲） Dr.Real《卡打車Ubike》,https://www.dcard.tw/f/music/p/235535517,希望大家給點建議,22
15,翻唱COVER 魏秀文-遊覽車（天之驕女片尾曲） Dr.Real《卡打車Ubike》,https://www.dcard.tw/f/entertainer/p/235535507,希望大家給點意見,106
16,翻唱COVER 魏秀文-遊覽車（天之驕女片尾曲） Dr.Real《卡打車Ubike》,https://www.dcard.tw/f/youtuber/p/235535494,希望大家給點意見,38
17,求推薦我一些的台語歌,https://www.dcard.tw/f/music/p/235500557,滅火器 茄子蛋我都聽過了，前陣子聽了珂拉琪，雖然有些地方發音怪怪的，但還是很讚（ • ̀ω•́ ），最近又聽到青虫的無你的故事，聽起來也是很爽，希望各位能推薦我一些曲風類似這些的台語歌，電火王那種也很舒服,6
18,#影 青峰 世紀之謎荒謬後續,https://www.dcard.tw/f/entertainer/p/234716026,"追星
橙汁魚兒
2020年11月1日",31
19,#影 青峰 世紀之謎荒謬後續,https://www.dcard.tw/f/entertainer/p/234716026,"追星
橙汁魚兒
2020年11月1日",31
20,青峰與他(被破解的)世紀之謎🤣,https://www.dcard.tw/f/entertainer/p/234698379,整件事情太荒謬好笑了，大半夜笑到睡不著決定上來發文🤣🤣，（首圖必須是美麗的新專），-，事情的由來是這樣的⬇️，總之就是青峰昨天在演唱會上突然提到，有一首十幾年前在計程車上聽到的台語歌，（描述如圖）,135
21,怎麼可以這麼好聽,https://www.dcard.tw/f/talk/p/234337043,因為yt演算法挖到的寶藏！想推薦給大家！，名字是珂拉琪collage，訂閱他們有一段時間了～很希望他們的用️能被看見！他們團目前作品不多，大多是台語歌，也有日語跟阿美族語，台語的部分還特別請了台語顧問,14
22,唱台語歌的男生有市場嗎？,https://www.dcard.tw/f/mood/p/234186479,自己音色關係，所以都唱台語歌，雖會婆婆媽媽們在遊覽車很能同樂（所以長輩緣特別好），但跟同儕出去其實很難找到同齡約20-30的女生一起唱合唱，（台語情歌其實超好聽的啊🤣），這邊有男生也是唱台語的嗎？‍,2
23,唱台語歌的男生有市場嗎？,https://www.dcard.tw/f/mood/p/234186479,自己音色關係，所以都唱台語歌，雖會婆婆媽媽們在遊覽車很能同樂（所以長輩緣特別好），但跟同儕出去其實很難找到同齡約20-30的女生一起唱合唱，（台語情歌其實超好聽的啊🤣），這邊有男生也是唱台語的嗎？‍,2
24,唱台語歌的男生有市場嗎？,https://www.dcard.tw/f/mood/p/234186479,自己音色關係，所以都唱台語歌，雖會婆婆媽媽們在遊覽車很能同樂（所以長輩緣特別好），但跟同儕出去其實很難找到同齡約20-30的女生一起唱合唱，（台語情歌其實超好聽的啊🤣），這邊有男生也是唱台語的嗎？‍,2
